experiment,group,variant,lr_override,init_scheme,use_max_norm,fold,final_train_loss,final_train_acc,final_test_loss,final_test_acc,final_clip_test_acc,best_test_acc,best_epoch,best_clip_test_acc,best_clip_epoch,nan_fail,fold_seconds
lr_0.005,learning_rate,long,0.005,kaiming,False,3,0.13707447682584947,0.9610416666666667,2.01180791358153,0.5497916666666667,0.64,0.571875,130,0.665,87,False,821.1610705852509
lr_0.005,learning_rate,long,0.005,kaiming,False,4,0.15293321892386302,0.9564973958333334,1.8152166803677876,0.5972916666666667,0.67,0.6141666666666666,143,0.695,143,False,825.3435573577881
lr_0.005,learning_rate,long,0.005,kaiming,False,5,0.1412802444344076,0.9590494791666667,2.039748271306356,0.5560416666666667,0.6225,0.5675,131,0.65,32,False,827.0054316520691
lr_0.01,learning_rate,long,0.01,kaiming,False,1,0.18617864690410593,0.9488802083333333,2.0425125658512115,0.5464583333333334,0.615,0.5695833333333333,45,0.655,58,False,826.3374311923981
lr_0.01,learning_rate,long,0.01,kaiming,False,2,0.16394919275383776,0.9544401041666667,1.9183504606286685,0.5360416666666666,0.625,0.5395833333333333,126,0.6325,54,False,826.4224324226379
lr_0.01,learning_rate,long,0.01,kaiming,False,3,0.1410152475000359,0.9601432291666666,2.14021006723245,0.5289583333333333,0.6075,0.5529166666666666,132,0.65,82,False,827.246518611908
lr_0.01,learning_rate,long,0.01,kaiming,False,4,0.14552013094847402,0.9593359375,1.722012812892596,0.59375,0.6575,0.605625,124,0.6875,81,False,827.595324754715
lr_0.01,learning_rate,long,0.01,kaiming,False,5,0.1354145044266867,0.9608333333333333,1.9257571150859196,0.5560416666666667,0.6225,0.5570833333333334,133,0.6425,53,False,827.5830171108246
init_xavier,initialization,long,,xavier,False,1,0.12360502026664714,0.9651432291666666,1.7435788760582607,0.55625,0.665,0.5695833333333333,144,0.675,144,False,827.0807619094849
init_xavier,initialization,long,,xavier,False,2,0.1260468273734053,0.9654036458333334,1.8581998571753502,0.553125,0.645,0.5654166666666667,50,0.65,149,False,828.5160212516785
init_xavier,initialization,long,,xavier,False,3,0.11528336150028433,0.967109375,1.7585504998763402,0.5789583333333334,0.6575,0.5860416666666667,83,0.6725,86,False,827.1772043704987
init_xavier,initialization,long,,xavier,False,4,0.13320670404937118,0.9635677083333334,1.4724218944708507,0.6264583333333333,0.71,0.6352083333333334,132,0.7225,95,False,829.0673477649689
init_xavier,initialization,long,,xavier,False,5,0.12130115480006982,0.9659114583333334,1.783509684105714,0.5675,0.6575,0.5910416666666667,66,0.675,61,False,831.0752699375153
init_kaiming,initialization,long,,kaiming,False,1,0.13388292398303747,0.9618359375,2.0382872919241586,0.5166666666666667,0.585,0.5233333333333333,60,0.6025,59,False,828.5971195697784
init_kaiming,initialization,long,,kaiming,False,2,0.13642883913901946,0.9622395833333334,1.853351503610611,0.561875,0.6425,0.5735416666666666,95,0.665,48,False,829.0579524040222
init_kaiming,initialization,long,,kaiming,False,3,0.1291293642910508,0.9632291666666667,2.031974583864212,0.519375,0.6175,0.5416666666666666,122,0.6375,136,False,830.3236601352692
init_kaiming,initialization,long,,kaiming,False,4,0.14944842360758534,0.9582682291666667,1.577679122487704,0.61875,0.695,0.633125,131,0.7125,131,False,828.816969871521
init_kaiming,initialization,long,,kaiming,False,5,0.13484202393253023,0.9621875,2.104147359728813,0.53,0.615,0.55625,90,0.64,24,False,827.0597960948944
max_norm_off,max_norm,long,,kaiming,False,1,0.15772456186823547,0.9544140625,1.827148641149203,0.5427083333333333,0.625,0.5689583333333333,25,0.66,27,False,828.5141742229462
max_norm_off,max_norm,long,,kaiming,False,2,0.13860482926247641,0.9612890625,1.9436946908632915,0.5635416666666667,0.6475,0.5647916666666667,147,0.6625,133,False,828.8918669223785
max_norm_off,max_norm,long,,kaiming,False,3,0.15804619514771426,0.9552604166666666,2.0006630271673203,0.52875,0.6175,0.5452083333333333,44,0.6375,73,False,827.786018371582
max_norm_off,max_norm,long,,kaiming,False,4,0.1525480565809024,0.9574479166666666,1.7239791303873062,0.5966666666666667,0.66,0.611875,39,0.7025,78,False,828.5517039299011
max_norm_off,max_norm,long,,kaiming,False,5,0.1384803598242191,0.9604427083333333,2.123701587319374,0.5516666666666666,0.6225,0.5570833333333334,125,0.635,67,False,828.269594669342
max_norm_on,max_norm,long,,kaiming,True,1,0.12172061660870288,0.9659244791666667,1.7997803936402004,0.555,0.6325,0.568125,75,0.6425,142,False,830.0848143100739
max_norm_on,max_norm,long,,kaiming,True,2,0.13132288749329746,0.9642838541666666,1.784240501622359,0.5870833333333333,0.655,0.5922916666666667,138,0.6775,147,False,830.48814702034
max_norm_on,max_norm,long,,kaiming,True,3,0.12154384066040318,0.9650651041666667,1.7880417505900066,0.5697916666666667,0.65,0.5916666666666667,128,0.6725,19,False,830.0820560455322
max_norm_on,max_norm,long,,kaiming,True,4,0.13829589693341404,0.9620052083333334,1.5269250770409901,0.613125,0.6725,0.6260416666666667,104,0.71,76,False,829.381765127182
max_norm_on,max_norm,long,,kaiming,True,5,0.12699790394011265,0.9642317708333333,1.8548246969779332,0.553125,0.6225,0.5722916666666666,111,0.645,38,False,834.0190076828003
variant_short,segment_length,short,,kaiming,False,1,0.33711797650903463,0.8992013888888889,2.37900800175137,0.4638888888888889,0.6325,0.47333333333333333,280,0.66,139,False,567.5900661945343
variant_short,segment_length,short,,kaiming,False,2,0.3555239938820402,0.8959027777777778,2.2417300277286105,0.4688888888888889,0.6325,0.4688888888888889,300,0.6425,285,False,567.8162937164307
variant_short,segment_length,short,,kaiming,False,3,0.3296304454820024,0.9007118055555555,2.2341519594192505,0.4666666666666667,0.635,0.48277777777777775,211,0.6575,96,False,567.7817590236664
variant_short,segment_length,short,,kaiming,False,4,0.35070345944000614,0.8965972222222223,2.0516523520151773,0.5152777777777777,0.6775,0.5275,277,0.7,297,False,568.7358367443085
variant_short,segment_length,short,,kaiming,False,5,0.3411550677071015,0.8972222222222223,2.5146563980314465,0.46166666666666667,0.62,0.46944444444444444,274,0.63,270,False,568.9163544178009
variant_long,segment_length,long,,kaiming,False,1,0.16852314595598727,0.9519401041666666,1.9627484728892644,0.524375,0.595,0.5397916666666667,41,0.6275,29,False,836.6499564647675
variant_long,segment_length,long,,kaiming,False,2,0.13819796764679873,0.9621875,1.9036146650711696,0.55625,0.6225,0.565625,104,0.65,56,False,836.2986469268799
variant_long,segment_length,long,,kaiming,False,3,0.12714939508199072,0.9641015625,2.059097836414973,0.5402083333333333,0.625,0.55375,115,0.6425,125,False,835.6573143005371
variant_long,segment_length,long,,kaiming,False,4,0.14596804400207475,0.9592317708333333,1.7717515180508296,0.5845833333333333,0.68,0.604375,68,0.6925,115,False,837.3536703586578
variant_long,segment_length,long,,kaiming,False,5,0.13699160979983085,0.960703125,1.989081586400668,0.5445833333333333,0.61,0.5591666666666667,129,0.6325,87,False,834.7954490184784
